"train/global_step","dpo-beta2.0_lr5e-06 - train/rewards/chosen","dpo-beta2.0_lr5e-06 - train/rewards/chosen__MIN","dpo-beta2.0_lr5e-06 - train/rewards/chosen__MAX","dpo-beta2.0_lr5e-06 - _step","dpo-beta2.0_lr5e-06 - _step__MIN","dpo-beta2.0_lr5e-06 - _step__MAX","dpo-beta1.0_lr5e-06 - train/rewards/chosen","dpo-beta1.0_lr5e-06 - train/rewards/chosen__MIN","dpo-beta1.0_lr5e-06 - train/rewards/chosen__MAX","dpo-beta1.0_lr5e-06 - _step","dpo-beta1.0_lr5e-06 - _step__MIN","dpo-beta1.0_lr5e-06 - _step__MAX","qwen25-7b-dpo-socialiqa - train/rewards/chosen","qwen25-7b-dpo-socialiqa - train/rewards/chosen__MIN","qwen25-7b-dpo-socialiqa - train/rewards/chosen__MAX","qwen25-7b-dpo-socialiqa - _step","qwen25-7b-dpo-socialiqa - _step__MIN","qwen25-7b-dpo-socialiqa - _step__MAX"
"160","3.727755379676819","3.727755379676819","3.727755379676819","18","18","18","2.448336660861969","2.448336660861969","2.448336660861969","18","18","18","1.0649499587249012","0.7038948560599237","1.4224897403270007","15","15","15"
"170","3.1906123399734496","3.1906123399734496","3.1906123399734496","19","19","19","2.3180052399635316","2.3180052399635316","2.3180052399635316","19","19","19","1.2343129750185957","0.6933783961459994","1.690446949750185","16","16","16"
"180","3.114258360862732","3.114258360862732","3.114258360862732","20","20","20","2.2420085430145265","2.2420085430145265","2.2420085430145265","20","20","20","1.2035729605549326","0.6570708130951971","1.5835380356758832","17","17","17"
"190","3.3180809736251833","3.3180809736251833","3.3180809736251833","21","21","21","2.430342745780945","2.430342745780945","2.430342745780945","21","21","21","1.4560239226557314","0.7130944769829511","2.150628776475787","18","18","18"
"200","3.64459342956543","3.64459342956543","3.64459342956543","22","22","22","2.586423599720001","2.586423599720001","2.586423599720001","22","22","22","1.4539481208659708","0.7103022349067032","2.084391915425658","19","19","19"
"210","3.084081435203552","3.084081435203552","3.084081435203552","24","24","24","2.433390510082245","2.433390510082245","2.433390510082245","24","24","24","1.2545182556534806","0.5750274443998933","1.8509461473673583","21","21","21"
"220","3.476308488845825","3.476308488845825","3.476308488845825","25","25","25","2.7635008931159972","2.7635008931159972","2.7635008931159972","25","25","25","1.1717576574378956","0.5699647336732596","1.543316176906228","22","22","22"
"230","3.737100076675415","3.737100076675415","3.737100076675415","26","26","26","2.9082673668861387","2.9082673668861387","2.9082673668861387","26","26","26","1.3495105559627216","0.5962849367409945","1.9959590751677752","23","23","23"
"240","4.201252198219299","4.201252198219299","4.201252198219299","27","27","27","3.330123770236969","3.330123770236969","3.330123770236969","27","27","27","1.6374576539266856","0.6709168032277375","2.5505355920642616","24","24","24"
"250","3.835866594314575","3.835866594314575","3.835866594314575","28","28","28","3.1746431946754456","3.1746431946754456","3.1746431946754456","28","28","28","1.7037945984397085","0.7066243933513761","2.7135847279801966","25","25","25"
