"train/global_step","dpo-beta2.0_lr5e-06 - train/rewards/accuracies","dpo-beta2.0_lr5e-06 - train/rewards/accuracies__MIN","dpo-beta2.0_lr5e-06 - train/rewards/accuracies__MAX","dpo-beta2.0_lr5e-06 - _step","dpo-beta2.0_lr5e-06 - _step__MIN","dpo-beta2.0_lr5e-06 - _step__MAX","dpo-beta1.0_lr5e-06 - train/rewards/accuracies","dpo-beta1.0_lr5e-06 - train/rewards/accuracies__MIN","dpo-beta1.0_lr5e-06 - train/rewards/accuracies__MAX","dpo-beta1.0_lr5e-06 - _step","dpo-beta1.0_lr5e-06 - _step__MIN","dpo-beta1.0_lr5e-06 - _step__MAX","qwen25-7b-dpo-socialiqa - train/rewards/accuracies","qwen25-7b-dpo-socialiqa - train/rewards/accuracies__MIN","qwen25-7b-dpo-socialiqa - train/rewards/accuracies__MAX","qwen25-7b-dpo-socialiqa - _step","qwen25-7b-dpo-socialiqa - _step__MIN","qwen25-7b-dpo-socialiqa - _step__MAX"
"450","1","1","1","52","52","52","1","1","1","52","52","52","0.99375","0.99375","0.99375","46","46","46"
"460","1","1","1","54","54","54","1","1","1","54","54","54","1","1","1","47","47","47"
"470","0.98125","0.98125","0.98125","55","55","55","0.9875","0.9875","0.9875","55","55","55","0.9854166666666667","0.975","0.99375","48","48","48"
"480","0.98125","0.98125","0.98125","56","56","56","0.98125","0.98125","0.98125","56","56","56","0.99375","0.99375","0.99375","49","49","49"
"490","0.9875","0.9875","0.9875","57","57","57","0.9875","0.9875","0.9875","57","57","57","0.9916666666666667","0.9875","0.99375","50","50","50"
"500","0.99375","0.99375","0.99375","58","58","58","1","1","1","58","58","58","0.9979166666666667","0.99375","1","51","51","51"
"510","1","1","1","60","60","60","1","1","1","60","60","60","1","1","1","52","52","52"
"520","0.99375","0.99375","0.99375","61","61","61","1","1","1","61","61","61","0.9895833333333334","0.98125","0.99375","53","53","53"
"530","0.9875","0.9875","0.9875","62","62","62","0.9875","0.9875","0.9875","62","62","62","0.9895833333333334","0.9875","0.99375","54","54","54"
"540","0.99375","0.99375","0.99375","63","63","63","0.99375","0.99375","0.99375","63","63","63","0.9895833333333334","0.9875","0.99375","55","55","55"
"550","1","1","1","64","64","64","1","1","1","64","64","64","0.9958333333333332","0.99375","1","56","56","56"
"560","0.99375","0.99375","0.99375","66","66","66","0.9875","0.9875","0.9875","66","66","66","0.9958333333333332","0.9875","1","57","57","57"
"570","1","1","1","67","67","67","1","1","1","67","67","67","0.99375","0.9875","1","58","58","58"
"580","1","1","1","68","68","68","1","1","1","68","68","68","0.9979166666666667","0.99375","1","59","59","59"
"590","0.9875","0.9875","0.9875","69","69","69","1","1","1","69","69","69","0.99375","0.9875","1","60","60","60"
"600","1","1","1","70","70","70","0.99375","0.99375","0.99375","70","70","70","0.9958333333333332","0.99375","1","61","61","61"
"610","0.9875","0.9875","0.9875","72","72","72","0.99375","0.99375","0.99375","72","72","72","0.99375","0.9875","1","63","63","63"
"620","0.99375","0.99375","0.99375","73","73","73","0.99375","0.99375","0.99375","73","73","73","0.99375","0.99375","0.99375","64","64","64"
"630","0.99375","0.99375","0.99375","74","74","74","1","1","1","74","74","74","0.9958333333333332","0.9875","1","65","65","65"
"640","0.99375","0.99375","0.99375","75","75","75","1","1","1","75","75","75","1","1","1","66","66","66"
"650","1","1","1","76","76","76","1","1","1","76","76","76","1","1","1","67","67","67"
"660","1","1","1","78","78","78","1","1","1","78","78","78","1","1","1","68","68","68"
"661","1","1","1","79","79","79","1","1","1","79","79","79","1","1","1","69","69","69"
