"train/global_step","dpo-beta2.0_lr5e-06 - train/rewards/margins","dpo-beta2.0_lr5e-06 - train/rewards/margins__MIN","dpo-beta2.0_lr5e-06 - train/rewards/margins__MAX","dpo-beta2.0_lr5e-06 - _step","dpo-beta2.0_lr5e-06 - _step__MIN","dpo-beta2.0_lr5e-06 - _step__MAX","dpo-beta1.0_lr5e-06 - train/rewards/margins","dpo-beta1.0_lr5e-06 - train/rewards/margins__MIN","dpo-beta1.0_lr5e-06 - train/rewards/margins__MAX","dpo-beta1.0_lr5e-06 - _step","dpo-beta1.0_lr5e-06 - _step__MIN","dpo-beta1.0_lr5e-06 - _step__MAX","qwen25-7b-dpo-socialiqa - train/rewards/margins","qwen25-7b-dpo-socialiqa - train/rewards/margins__MIN","qwen25-7b-dpo-socialiqa - train/rewards/margins__MAX","qwen25-7b-dpo-socialiqa - _step","qwen25-7b-dpo-socialiqa - _step__MIN","qwen25-7b-dpo-socialiqa - _step__MAX"
"110","6.052177977561951","6.052177977561951","6.052177977561951","12","12","12","4.440226697921753","4.440226697921753","4.440226697921753","12","12","12","4.280176049346725","0.8316445969045162","9.945938390493392","10","10","10"
"120","6.6397784948349","6.6397784948349","6.6397784948349","13","13","13","4.874989008903503","4.874989008903503","4.874989008903503","13","13","13","4.56831873934716","1.0835494877770544","10.169995161890984","11","11","11"
"130","6.64780912399292","6.64780912399292","6.64780912399292","14","14","14","4.8593963265419005","4.8593963265419005","4.8593963265419005","14","14","14","4.521700424266358","1.1116860842332243","9.999171802401543","12","12","12"
"140","7.294089245796203","7.294089245796203","7.294089245796203","15","15","15","5.305341696739196","5.305341696739196","5.305341696739196","15","15","15","4.496393007412553","1.2732643652707338","9.51630280315876","13","13","13"
"150","8.498515748977661","8.498515748977661","8.498515748977661","16","16","16","6.108082699775696","6.108082699775696","6.108082699775696","16","16","16","4.966245268036922","1.5781175430864096","10.091885042190551","14","14","14"
"160","8.735041379928589","8.735041379928589","8.735041379928589","18","18","18","6.229528760910034","6.229528760910034","6.229528760910034","18","18","18","5.048142227903009","1.6670985009521246","10.180230954289437","15","15","15"
"170","9.509495306015015","9.509495306015015","9.509495306015015","19","19","19","6.998366439342499","6.998366439342499","6.998366439342499","19","19","19","5.52055548876524","1.983442911505699","10.93443160057068","16","16","16"
"180","9.454179525375366","9.454179525375366","9.454179525375366","20","20","20","6.885041856765747","6.885041856765747","6.885041856765747","20","20","20","5.161498152340452","1.9869363095611334","9.820423269271851","17","17","17"
"190","10.141428112983704","10.141428112983704","10.141428112983704","21","21","21","7.4201634407043455","7.4201634407043455","7.4201634407043455","21","21","21","5.69959132373333","2.303139699995518","10.669764184951783","18","18","18"
"200","10.416187715530395","10.416187715530395","10.416187715530395","22","22","22","7.3593570470809935","7.3593570470809935","7.3593570470809935","22","22","22","5.710771074146032","2.355088073015213","10.610338634252548","19","19","19"
"210","9.525954937934875","9.525954937934875","9.525954937934875","24","24","24","6.976676785945893","6.976676785945893","6.976676785945893","24","24","24","5.600929510841767","2.4023765556514265","10.422291028499604","21","21","21"
"220","10.639946889877319","10.639946889877319","10.639946889877319","25","25","25","7.746164488792419","7.746164488792419","7.746164488792419","25","25","25","5.800937475264072","2.5341992318630218","10.579036504030228","22","22","22"
"230","10.920854830741883","10.920854830741883","10.920854830741883","26","26","26","7.913488864898682","7.913488864898682","7.913488864898682","26","26","26","5.832716797788938","2.712236411869526","10.362793579697609","23","23","23"
"240","11.959595012664796","11.959595012664796","11.959595012664796","27","27","27","8.52656900882721","8.52656900882721","8.52656900882721","27","27","27","6.1364121402303375","2.9258730083703997","10.595936447381973","24","24","24"
"250","10.885843086242676","10.885843086242676","10.885843086242676","28","28","28","8.085971820354462","8.085971820354462","8.085971820354462","28","28","28","5.941177440186341","2.9227253034710885","10.182291114330292","25","25","25"
"260","12.033715510368348","12.033715510368348","12.033715510368348","30","30","30","8.797281575202941","8.797281575202941","8.797281575202941","30","30","30","6.22876775463422","3.107978802919388","10.501533097028732","26","26","26"
"270","11.424791717529297","11.424791717529297","11.424791717529297","31","31","31","8.316628658771515","8.316628658771515","8.316628658771515","31","31","31","6.171626776456833","3.0978345200419426","10.547997921705246","27","27","27"
"280","11.168743324279784","11.168743324279784","11.168743324279784","32","32","32","8.132991051673889","8.132991051673889","8.132991051673889","32","32","32","5.969116927186648","3.004122033715248","9.980372834205628","28","28","28"
"290","11.679860305786132","11.679860305786132","11.679860305786132","33","33","33","8.730917477607727","8.730917477607727","8.730917477607727","33","33","33","6.660699824988842","3.3539574161171912","11.379339039325714","29","29","29"
"300","11.380612778663636","11.380612778663636","11.380612778663636","34","34","34","8.591487634181977","8.591487634181977","8.591487634181977","34","34","34","6.465778643389542","3.202815593779087","10.9901202917099","30","30","30"
"310","11.886739921569824","11.886739921569824","11.886739921569824","36","36","36","8.893686532974243","8.893686532974243","8.893686532974243","36","36","36","6.349673179288705","3.291373635828495","10.482932078838349","31","31","31"
"320","12.394275665283203","12.394275665283203","12.394275665283203","37","37","37","9.107785332202912","9.107785332202912","9.107785332202912","37","37","37","6.502687833458185","3.3940321661531927","10.629462154209614","32","32","32"
"330","12.646734166145325","12.646734166145325","12.646734166145325","38","38","38","9.235512804985046","9.235512804985046","9.235512804985046","38","38","38","6.4479112173120186","3.5342522755265238","10.2877994120121","33","33","33"
"340","12.116996812820435","12.116996812820435","12.116996812820435","39","39","39","8.9791668176651","8.9791668176651","8.9791668176651","39","39","39","6.504177315036455","3.5962812185287474","10.436290335655212","34","34","34"
"350","12.49394450187683","12.49394450187683","12.49394450187683","40","40","40","9.082568836212157","9.082568836212157","9.082568836212157","40","40","40","6.447127704322338","3.559359960258007","10.123604336380959","35","35","35"
"360","12.245798492431641","12.245798492431641","12.245798492431641","42","42","42","9.01298280954361","9.01298280954361","9.01298280954361","42","42","42","6.612445431947708","3.738255888223648","10.390087258815765","36","36","36"
"370","12.896181344985962","12.896181344985962","12.896181344985962","43","43","43","9.493426895141601","9.493426895141601","9.493426895141601","43","43","43","6.938495257496833","3.910204681754112","10.93253847360611","37","37","37"
"380","12.345904541015624","12.345904541015624","12.345904541015624","44","44","44","9.059794986248017","9.059794986248017","9.059794986248017","44","44","44","6.559582764531175","3.70131802521646","10.435289800167084","38","38","38"
"390","12.625168085098267","12.625168085098267","12.625168085098267","45","45","45","9.493990492820739","9.493990492820739","9.493990492820739","45","45","45","6.953568967183432","3.9188919395208357","10.97835630774498","39","39","39"
"400","12.479597473144532","12.479597473144532","12.479597473144532","46","46","46","9.224967396259308","9.224967396259308","9.224967396259308","46","46","46","6.6858999078472445","3.678278361260891","10.698878255486488","40","40","40"
"410","12.256910610198975","12.256910610198975","12.256910610198975","48","48","48","8.912451815605163","8.912451815605163","8.912451815605163","48","48","48","6.706084903081258","3.7094575837254524","10.792799508571624","42","42","42"
"420","12.505214476585389","12.505214476585389","12.505214476585389","49","49","49","9.256655621528626","9.256655621528626","9.256655621528626","49","49","49","6.911665440599124","3.876000252366066","11.060806775093079","43","43","43"
"430","12.009386920928955","12.009386920928955","12.009386920928955","50","50","50","8.77018586397171","8.77018586397171","8.77018586397171","50","50","50","6.530836986005306","3.7238907709717752","10.33673262000084","44","44","44"
"440","12.588766193389892","12.588766193389892","12.588766193389892","51","51","51","9.055294787883758","9.055294787883758","9.055294787883758","51","51","51","6.622564938167731","3.878876368701458","10.256998926401138","45","45","45"
"450","12.998374652862548","12.998374652862548","12.998374652862548","52","52","52","9.450854527950288","9.450854527950288","9.450854527950288","52","52","52","6.732763008773328","3.802906094491482","10.560230115056038","46","46","46"
"460","13.107629656791687","13.107629656791687","13.107629656791687","54","54","54","9.541203212738036","9.541203212738036","9.541203212738036","54","54","54","6.782541668415068","3.916554296016693","10.48407826423645","47","47","47"
"470","12.659893107414245","12.659893107414245","12.659893107414245","55","55","55","9.115799486637115","9.115799486637115","9.115799486637115","55","55","55","6.566657173633575","3.806044065952301","10.148329570889473","48","48","48"
"480","12.512916684150696","12.512916684150696","12.512916684150696","56","56","56","9.33892925977707","9.33892925977707","9.33892925977707","56","56","56","6.875533958276113","4.032798337936401","10.639717996120453","49","49","49"
"490","12.698776006698608","12.698776006698608","12.698776006698608","57","57","57","9.230506443977356","9.230506443977356","9.230506443977356","57","57","57","6.7477164044976226","4.03242729306221","10.450960528850555","50","50","50"
"500","12.478331065177917","12.478331065177917","12.478331065177917","58","58","58","8.963842606544494","8.963842606544494","8.963842606544494","58","58","58","6.532604911923408","3.9379226565361023","9.929744893312455","51","51","51"
"510","12.802906847000122","12.802906847000122","12.802906847000122","60","60","60","9.423136520385743","9.423136520385743","9.423136520385743","60","60","60","6.844689807792505","4.048409752547741","10.45746893286705","52","52","52"
"520","12.868383502960205","12.868383502960205","12.868383502960205","61","61","61","9.676779663562774","9.676779663562774","9.676779663562774","61","61","61","6.976758721470833","4.151836478710175","10.518600803613662","53","53","53"
