"train/global_step","dpo-beta2.0_lr5e-06 - train/rewards/rejected","dpo-beta2.0_lr5e-06 - train/rewards/rejected__MIN","dpo-beta2.0_lr5e-06 - train/rewards/rejected__MAX","dpo-beta2.0_lr5e-06 - _step","dpo-beta2.0_lr5e-06 - _step__MIN","dpo-beta2.0_lr5e-06 - _step__MAX","dpo-beta1.0_lr5e-06 - train/rewards/rejected","dpo-beta1.0_lr5e-06 - train/rewards/rejected__MIN","dpo-beta1.0_lr5e-06 - train/rewards/rejected__MAX","dpo-beta1.0_lr5e-06 - _step","dpo-beta1.0_lr5e-06 - _step__MIN","dpo-beta1.0_lr5e-06 - _step__MAX","qwen25-7b-dpo-socialiqa - train/rewards/rejected","qwen25-7b-dpo-socialiqa - train/rewards/rejected__MIN","qwen25-7b-dpo-socialiqa - train/rewards/rejected__MAX","qwen25-7b-dpo-socialiqa - _step","qwen25-7b-dpo-socialiqa - _step__MIN","qwen25-7b-dpo-socialiqa - _step__MAX"
"250","-7.049976491928101","-7.049976491928101","-7.049976491928101","28","28","28","-4.911328625679016","-4.911328625679016","-4.911328625679016","28","28","28","-4.2373828356464704","-7.468706366419792","-2.216100910305977","25","25","25"
"260","-7.865314531326294","-7.865314531326294","-7.865314531326294","30","30","30","-5.454164171218872","-5.454164171218872","-5.454164171218872","30","30","30","-4.425985168914","-7.532125943899155","-2.4278458535671232","26","26","26"
"270","-7.5715913534164425","-7.5715913534164425","-7.5715913534164425","31","31","31","-5.238590180873871","-5.238590180873871","-5.238590180873871","31","31","31","-4.49114905099074","-7.761133429408074","-2.45346672385931","27","27","27"
"280","-7.376097464561463","-7.376097464561463","-7.376097464561463","32","32","32","-5.117724537849426","-5.117724537849426","-5.117724537849426","32","32","32","-4.465641842534144","-7.610485389828682","-2.445685999840498","28","28","28"
"290","-7.936790204048156","-7.936790204048156","-7.936790204048156","33","33","33","-5.681268370151519","-5.681268370151519","-5.681268370151519","33","33","33","-5.204354696472486","-9.260517513751983","-2.7229219511151315","29","29","29"
"300","-7.938360953330994","-7.938360953330994","-7.938360953330994","34","34","34","-5.722390687465667","-5.722390687465667","-5.722390687465667","34","34","34","-5.1544650783141455","-9.1034150660038","-2.6731320559978484","30","30","30"
"310","-8.135429906845093","-8.135429906845093","-8.135429906845093","36","36","36","-5.826796185970307","-5.826796185970307","-5.826796185970307","36","36","36","-4.8229481160640715","-8.077914729714394","-2.713687093555927","31","31","31"
"320","-8.322258186340331","-8.322258186340331","-8.322258186340331","37","37","37","-6.022634053230286","-6.022634053230286","-6.022634053230286","37","37","37","-4.977170455952486","-8.29481516778469","-2.806515519320965","32","32","32"
"330","-8.337353205680847","-8.337353205680847","-8.337353205680847","38","38","38","-6.0191489338874815","-6.0191489338874815","-6.0191489338874815","38","38","38","-4.94164060652256","-7.983458739519119","-2.962700693309307","33","33","33"
"340","-7.685469555854797","-7.685469555854797","-7.685469555854797","39","39","39","-5.744882905483246","-5.744882905483246","-5.744882905483246","39","39","39","-4.776065725584825","-7.65842571258545","-2.976890091598034","34","34","34"
"350","-8.380623412132262","-8.380623412132262","-8.380623412132262","40","40","40","-6.224391674995422","-6.224391674995422","-6.224391674995422","40","40","40","-4.914789951841036","-7.636175918579101","-3.0636975288391115","35","35","35"
"360","-7.311918115615844","-7.311918115615844","-7.311918115615844","42","42","42","-5.6576245665550235","-5.6576245665550235","-5.6576245665550235","42","42","42","-4.71755427022775","-7.4331379503011705","-2.9850886717438696","36","36","36"
"370","-8.484137392044067","-8.484137392044067","-8.484137392044067","43","43","43","-6.419906675815582","-6.419906675815582","-6.419906675815582","43","43","43","-5.3868288317074375","-8.639044478535652","-3.321422628685832","37","37","37"
"380","-7.9409054040908815","-7.9409054040908815","-7.9409054040908815","44","44","44","-6.012791895866394","-6.012791895866394","-6.012791895866394","44","44","44","-5.3116001561284065","-8.867394191026687","-3.193885990977287","38","38","38"
"390","-8.15842227935791","-8.15842227935791","-8.15842227935791","45","45","45","-6.239247226715088","-6.239247226715088","-6.239247226715088","45","45","45","-5.5471376334627465","-9.360105979442597","-3.259566420316696","39","39","39"
"400","-8.405300784111024","-8.405300784111024","-8.405300784111024","46","46","46","-6.401296985149384","-6.401296985149384","-6.401296985149384","46","46","46","-5.628570419053236","-9.533990323543549","-3.275478255748749","40","40","40"
"410","-7.795059490203857","-7.795059490203857","-7.795059490203857","48","48","48","-5.941732382774353","-5.941732382774353","-5.941732382774353","48","48","48","-5.453173494835695","-9.369792145490646","-3.12833172082901","42","42","42"
"420","-8.406751418113709","-8.406751418113709","-8.406751418113709","49","49","49","-6.42519382238388","-6.42519382238388","-6.42519382238388","49","49","49","-5.755364913245042","-9.727523601055145","-3.358364279568195","43","43","43"
"430","-7.864786458015442","-7.864786458015442","-7.864786458015442","50","50","50","-6.053087544441223","-6.053087544441223","-6.053087544441223","50","50","50","-5.406721386561792","-9.080000048875808","-3.233934875577688","44","44","44"
"440","-8.900637364387512","-8.900637364387512","-8.900637364387512","51","51","51","-6.596705210208893","-6.596705210208893","-6.596705210208893","51","51","51","-5.669644581278166","-9.26477821469307","-3.477141134440899","45","45","45"
"450","-9.141837859153748","-9.141837859153748","-9.141837859153748","52","52","52","-6.9190944790840145","-6.9190944790840145","-6.9190944790840145","52","52","52","-5.693927889068921","-9.294625264406204","-3.436521992087364","46","46","46"
"460","-8.576152801513672","-8.576152801513672","-8.576152801513672","54","54","54","-6.373984313011169","-6.373984313011169","-6.373984313011169","54","54","54","-5.1103301957249645","-8.091861701011657","-3.2404634296894073","47","47","47"
"470","-8.841440153121948","-8.841440153121948","-8.841440153121948","55","55","55","-6.513427972793579","-6.513427972793579","-6.513427972793579","55","55","55","-5.256002569198608","-8.172573432326317","-3.367932267487049","48","48","48"
"480","-8.519210624694825","-8.519210624694825","-8.519210624694825","56","56","56","-6.535541570186615","-6.535541570186615","-6.535541570186615","56","56","56","-5.3511920462052025","-8.368792980909348","-3.483571335673332","49","49","49"
"490","-8.506168031692505","-8.506168031692505","-8.506168031692505","57","57","57","-6.359469020366669","-6.359469020366669","-6.359469020366669","57","57","57","-5.24340122093757","-8.063622272014618","-3.528401145339012","50","50","50"
"500","-8.279868817329406","-8.279868817329406","-8.279868817329406","58","58","58","-6.179388976097107","-6.179388976097107","-6.179388976097107","58","58","58","-5.0227759708960855","-7.555756184458732","-3.4311473429203034","51","51","51"
"510","-8.285497450828553","-8.285497450828553","-8.285497450828553","60","60","60","-6.288817834854126","-6.288817834854126","-6.288817834854126","60","60","60","-5.1558021393915014","-7.820520868897438","-3.50241796374321","52","52","52"
"520","-8.541192245483398","-8.541192245483398","-8.541192245483398","61","61","61","-6.556066524982453","-6.556066524982453","-6.556066524982453","61","61","61","-5.226245411733786","-7.725047034025192","-3.596459124982357","53","53","53"
"530","-8.09378478527069","-8.09378478527069","-8.09378478527069","62","62","62","-6.255877482891083","-6.255877482891083","-6.255877482891083","62","62","62","-5.10582105666399","-7.505243572592735","-3.5941216588020324","54","54","54"
"540","-8.352092289924622","-8.352092289924622","-8.352092289924622","63","63","63","-6.391086459159851","-6.391086459159851","-6.391086459159851","63","63","63","-5.068726588785648","-7.563299897313118","-3.482496348023415","55","55","55"
"550","-8.039913749694824","-8.039913749694824","-8.039913749694824","64","64","64","-6.253537023067475","-6.253537023067475","-6.253537023067475","64","64","64","-4.994648916025956","-7.389231503009796","-3.5339443519711495","56","56","56"
"560","-7.680166745185852","-7.680166745185852","-7.680166745185852","66","66","66","-5.90577095746994","-5.90577095746994","-5.90577095746994","66","66","66","-5.056073662638664","-7.429311323165893","-3.631264679133892","57","57","57"
"570","-9.589431762695312","-9.589431762695312","-9.589431762695312","67","67","67","-7.19986584186554","-7.19986584186554","-7.19986584186554","67","67","67","-5.5939839045206705","-8.116386750340462","-3.959401485323906","58","58","58"
"580","-8.071102595329284","-8.071102595329284","-8.071102595329284","68","68","68","-6.198846805095672","-6.198846805095672","-6.198846805095672","68","68","68","-4.990210485458373","-7.1705451786518095","-3.618121233582497","59","59","59"
"590","-8.04724612236023","-8.04724612236023","-8.04724612236023","69","69","69","-6.3157180666923525","-6.3157180666923525","-6.3157180666923525","69","69","69","-5.093738356232643","-7.372441205382347","-3.652800503373146","60","60","60"
"600","-8.459340786933899","-8.459340786933899","-8.459340786933899","70","70","70","-6.447038328647613","-6.447038328647613","-6.447038328647613","70","70","70","-5.227526839574178","-7.59111539721489","-3.7448007345199583","61","61","61"
"610","-8.521559834480286","-8.521559834480286","-8.521559834480286","72","72","72","-6.400021958351135","-6.400021958351135","-6.400021958351135","72","72","72","-5.192279361685117","-7.447963535785675","-3.7815800204873087","63","63","63"
"620","-8.443502068519592","-8.443502068519592","-8.443502068519592","73","73","73","-6.344390201568603","-6.344390201568603","-6.344390201568603","73","73","73","-5.2598569035530085","-7.573983550071716","-3.823039373755455","64","64","64"
"630","-8.418788957595826","-8.418788957595826","-8.418788957595826","74","74","74","-6.450137495994568","-6.450137495994568","-6.450137495994568","74","74","74","-5.272462366024652","-7.638545027375221","-3.7702608928084373","65","65","65"
"640","-8.23027789592743","-8.23027789592743","-8.23027789592743","75","75","75","-6.225718021392822","-6.225718021392822","-6.225718021392822","75","75","75","-5.2728001390894255","-7.54091868698597","-3.863355165719986","66","66","66"
"650","-8.112116765975951","-8.112116765975951","-8.112116765975951","76","76","76","-6.139431869983673","-6.139431869983673","-6.139431869983673","76","76","76","-5.160225271681944","-7.539841616153717","-3.6802494317293166","67","67","67"
"660","-7.972464370727539","-7.972464370727539","-7.972464370727539","78","78","78","-6.067895245552063","-6.067895245552063","-6.067895245552063","78","78","78","-5.17161129663388","-7.7082399249076845","-3.599118646979332","68","68","68"
"661","-15.120784378051757","-15.120784378051757","-15.120784378051757","79","79","79","-10.459575653076172","-10.459575653076172","-10.459575653076172","79","79","79","-8.88651180267334","-12.936804676055909","-6.273792362213134","69","69","69"
